MatchRow,MatchOrder,MatchName,TossTeam,Comments,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamCode,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamCode,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Winner
29,29th  T20,Punjab Kings VS Delhi Capitals,Delhi Capitals,Delhi Capitals won by 7 wickets,Punjab Kings,Delhi Capitals,166/6 (20 Overs),PBKS,Punjab Kings,,,167/3 (17.4 Overs),DC,Delhi Capitals,Narendra Modi Stadium,Ahmedabad,2021-05-02 19:30:00,19:30,2 May 2021,23:00,Delhi Capitals
28,28th  T20,Rajasthan Royals VS Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals won by 55 runs,Rajasthan Royals,Sunrisers Hyderabad,220/3 (20 Overs),RR,Rajasthan Royals,,,165/8 (20 Overs),SRH,Sunrisers Hyderabad,Arun Jaitley Stadium,Delhi,2021-05-02 15:30:00,15:30,2 May 2021,23:00,Rajasthan Royals
27,27th  T20,Mumbai Indians VS Chennai Super Kings,Chennai Super Kings,Mumbai Indians won by 4 wickets,Mumbai Indians,Chennai Super Kings,218/4 (20 Overs),CSK,Chennai Super Kings,,,219/6 (20 Overs),MI,Mumbai Indians,Arun Jaitley Stadium,Delhi,2021-05-01 19:30:00,19:30,1 May 2021,23:00,Mumbai Indians
26,26th  T20,Punjab Kings VS Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings won by 34 runs,Punjab Kings,Royal Challengers Bangalore,179/5 (20 Overs),PBKS,Punjab Kings,,,145/8 (20 Overs),RCB,Royal Challengers Bangalore,Narendra Modi Stadium,Ahmedabad,2021-04-30 19:30:00,19:30,30 Apr 2021,23:00,Punjab Kings
25,25th  T20,Delhi Capitals VS Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals won by 7 wickets,Delhi Capitals,Kolkata Knight Riders,154/6 (20 Overs),KKR,Kolkata Knight Riders,,,156/3 (16.3 Overs),DC,Delhi Capitals,Narendra Modi Stadium,Ahmedabad,2021-04-29 19:30:00,19:30,29 Apr 2021,23:00,Delhi Capitals
24,24th  T20,Mumbai Indians VS Rajasthan Royals,Rajasthan Royals,Mumbai Indians won by 7 wickets,Mumbai Indians,Rajasthan Royals,171/4 (20 Overs),RR,Rajasthan Royals,,,172/3 (18.3 Overs),MI,Mumbai Indians,Arun Jaitley Stadium,Delhi,2021-04-29 15:30:00,15:30,29 Apr 2021,23:00,Mumbai Indians
23,23rd  T20,Chennai Super Kings VS Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings won by 7 wickets,Chennai Super Kings,Sunrisers Hyderabad,171/3 (20 Overs),SRH,Sunrisers Hyderabad,,,173/3 (18.3 Overs),CSK,Chennai Super Kings,Arun Jaitley Stadium,Delhi,2021-04-28 19:30:00,19:30,28 Apr 2021,23:00,Chennai Super Kings
22,22nd  T20,Delhi Capitals VS Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore won by 1 run,Delhi Capitals,Royal Challengers Bangalore,171/5 (20 Overs),RCB,Royal Challengers Bangalore,,,170/4 (20 Overs),DC,Delhi Capitals,Narendra Modi Stadium,Ahmedabad,2021-04-27 19:30:00,19:30,27 Apr 2021,23:00,Royal Challengers Bangalore
21,21st T20,Punjab Kings VS Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders won by 5 wickets,Punjab Kings,Kolkata Knight Riders,123/9 (20 Overs),PBKS,Punjab Kings,,,126/5 (16.4 Overs),KKR,Kolkata Knight Riders,Narendra Modi Stadium,Ahmedabad,2021-04-26 19:30:00,19:30,26 Apr 2021,23:00,Kolkata Knight Riders
20,20th  T20,Sunrisers Hyderabad VS Delhi Capitals,Delhi Capitals,Match tied (Delhi Capitals won the Super Over),Sunrisers Hyderabad,Delhi Capitals,159/4 (20 Overs),DC,Delhi Capitals,,,159/7 (20 Overs),SRH,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Chennai,2021-04-25 19:30:00,19:30,25 Apr 2021,23:00,Match Tied (Delhi Capitals
