BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Varun Aaron,,,GT,Gujarat Titans,52,,50,35,197,,1481,393,,,33.66,22.59,22.59,,,8.94,164,,,,9,3,,,,,44,,,,3/16,3/16,2,,0,0,,0
Yusuf Pathan,,,SRH,Sunrisers Hyderabad,174,,82,,226,,1415,395,,,33.69,27.31,27.31,,,7.40,191,,,,262,158,,,,,42,,,,3/20,3/20,1,,0,0,,0
Moises Henriques,,,PBKS,Punjab Kings,62,,60,,133,,1289,308,,,30.69,22.62,22.62,,,8.14,158,,,,87,28,,,,,42,,,,3/12,3/12,0,,0,0,,0
Andrew Tye,,,LSG,Lucknow Super Giants,30,,30,77,30,,979,219,,,23.31,16.29,16.29,,,8.59,114,,,,20,9,,,,,42,,,,5/17,5/17,0,,3,1,,1
Sam Curran,,,PBKS,Punjab Kings,46,,45,15,138,,1484,312,,,35.33,22.26,22.26,,,9.52,155,,,,80,39,,,,,42,,,,4/11,4/11,0,,1,0,,1
Iqbal Abdulla,,,RCB,Royal Challengers Bangalore,49,,48,,0,,1109,331,,,27.73,23.00,23.00,,,7.23,153,,,,9,1,,,,,40,,,,3/24,3/24,1,,0,0,,0
Rahul Sharma,,,DC,Delhi Capitals,44,,44,,0,,1086,334,,,27.15,23.20,23.20,,,7.02,154,,,,5,3,,,,,40,,,,3/13,3/13,1,,0,0,,0
Shanthakumaran Sreesanth,,,RR,Rajasthan Royals,44,,44,,0,,1194,400,,,29.85,22.00,22.00,,,8.14,146,,,,6,0,,,,,40,,,,3/29,3/29,4,,0,0,,0
Parvinder Awana,,,PBKS,Punjab Kings,33,,33,,0,,1029,293,,,26.38,19.15,19.15,,,8.27,124,,,,0,0,,,,,39,,,,4/34,4/34,2,,1,0,,0
Marcus Stoinis,,,LSG,Lucknow Super Giants,82,,55,77,23,,1148,199,,,29.44,18.44,18.44,,,9.58,117,,,,90,45,,,,,39,,,,4/15,4/15,0,,1,0,,0
Dan Christian,,,RCB,Royal Challengers Bangalore,49,,49,,0,,1192,299,,,31.37,23.24,23.24,,,8.10,147,,,,23,19,,,,,38,,,,2/10,2/10,0,,0,0,,0
Pradeep Sangwan,,,GT,Gujarat Titans,42,,42,35,977,,1240,210,,,32.63,22.58,22.58,,,8.67,143,,,,9,0,,,,,38,,,,3/18,3/18,1,,0,0,,0
Manpreet Gony,,,PBKS,Punjab Kings,44,,44,,507,,1287,351,,,34.78,24.00,24.00,,,8.70,148,,,,6,8,,,,,37,,,,3/31,3/31,3,,0,0,,0
