Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Ashish Nehra,29-4-1979,1.0,1.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,1*,0.0,India,rhb,199.0,72.0,22.11,17.33,7.65,26,0.0,0.0,9.0,4/10,4/10,1.0,0.0,0.0,156.0,SRH,Sunrisers Hyderabad,2.0,8.0,Indian,True
Morne Morkel,6-10-1984,1.0,1.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,1*,0.0,South Africa,lhb,297.0,89.0,29.7,21.3,8.36,35,0.0,0.0,10.0,4/20,4/20,0.0,0.0,0.0,210.0,KKR,Kolkata Knight Riders,2.0,10.0,Overseas,False
Swapnil Singh,22-1-1991,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0*,0.0,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,1.0,1.0,Indian,True
Unmukt Chand,26-3-1993,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0*,0.0,United States of America,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,1.0,1.0,Overseas,True
Adam Zampa,31-3-1992,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0*,0.0,Australia,rhb,115.0,32.0,9.58,8.5,6.76,17,0.0,0.0,12.0,6/19,6/19,0.0,0.0,1.0,102.0,RPS,Rising Pune Supergiant,1.0,5.0,Overseas,True
Shivil Kaushik,7-9-1995,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0*,0.0,India,rhb,192.0,48.0,32.0,23.0,8.34,23,0.0,0.0,6.0,3/20,3/20,0.0,0.0,0.0,138.0,GL,Gujarat Lions,2.0,7.0,Indian,True
Murugan Ashwin,8-9-1990,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0*,0.0,India,rhb,241.0,55.0,34.42,24.42,8.45,28,0.0,0.0,7.0,3/21,3/21,0.0,0.0,0.0,168.0,RPS,Rising Pune Supergiant,1.0,10.0,Indian,True
Yuzvendra Chahal,23-7-1990,,,,,,,,,,,,India,rhb,401.0,100.0,19.09,14.04,8.15,49,0.0,0.0,21.0,4/25,4/25,0.0,1.0,0.0,294.0,RCB,Royal Challengers Bangalore,13.0,13.0,Indian,True
Mustafizur Rahman,6-9-1995,,,,,,,,,,,,Bangladesh,lhb,421.0,137.0,24.76,21.52,6.9,61,0.0,0.0,17.0,3/16,3/16,1.0,0.0,0.0,366.0,SRH,Sunrisers Hyderabad,16.0,16.0,Overseas,False
Sreenath Aravind,8-4-1984,,,,,,,,,,,,India,lhb,216.0,65.0,19.63,15.9,7.4,29,0.0,0.0,11.0,4/14,4/14,0.0,0.0,0.0,174.0,RCB,Royal Challengers Bangalore,9.0,9.0,Indian,False
Ashok Dinda,25-3-1984,,,,,,,,,,,,India,rhb,231.0,84.0,21.0,16.63,7.57,30,0.0,0.0,11.0,4/18,4/18,2.0,0.0,0.0,180.0,RPS,Rising Pune Supergiant,9.0,9.0,Indian,True
Kuldeep Yadav,14-12-1994,,,,,,,,,,,,India,lhb,100.0,28.0,16.66,12.0,8.33,12,0.0,0.0,6.0,4/20,4/20,0.0,0.0,0.0,72.0,KKR,Kolkata Knight Riders,3.0,3.0,Indian,False
Brad Hogg,6-2-1971,,,,,,,,,,,,Australia,lhb,142.0,31.0,35.5,24.0,8.87,16,0.0,0.0,4.0,4/29,4/29,1.0,0.0,0.0,96.0,KKR,Kolkata Knight Riders,5.0,5.0,Overseas,False
RP Singh,6-12-1985,,,,,,,,,,,,India,rhb,111.0,29.0,37.0,24.0,9.25,12,0.0,0.0,3.0,4/22,4/22,0.0,0.0,0.0,72.0,RPS,Rising Pune Supergiant,4.0,4.0,Indian,True
Ankit Rajpoot,4-12-1993,,,,,,,,,,,,India,rhb,98.0,18.0,32.66,22.0,8.9,11,0.0,0.0,3.0,5/14,5/14,0.0,0.0,0.0,66.0,KKR,Kolkata Knight Riders,4.0,4.0,Indian,True
Tabraiz Shamsi,18-2-1990,,,,,,,,,,,,South Africa,rhb,147.0,26.0,49.0,32.0,9.18,16,0.0,0.0,3.0,1/21,1/21,0.0,0.0,0.0,96.0,RCB,Royal Challengers Bangalore,4.0,4.0,Overseas,True
Ishant Sharma,2-9-1988,,,,,,,,,,,,India,rhb,148.0,37.0,49.33,30.0,9.86,15,0.0,0.0,3.0,5/12,5/12,0.0,0.0,0.0,90.0,RPS,Rising Pune Supergiant,4.0,4.0,Indian,True
Scott Boland,11-4-1989,,,,,,,,,,,,Australia,rhb,54.0,14.0,27.0,21.0,7.71,7,0.0,0.0,2.0,2/31,2/31,0.0,0.0,0.0,42.0,RPS,Rising Pune Supergiant,2.0,2.0,Overseas,True
John Hastings,4-11-1985,,,,,,,,,,,,Australia,rhb,37.0,22.0,18.5,20.0,5.55,6,0.0,0.0,2.0,2/6,2/6,1.0,0.0,0.0,36.0,KKR,Kolkata Knight Riders,2.0,2.0,Overseas,True
Varun Aaron,29-10-1989,,,,,,,,,,,,India,rhb,227.0,48.0,113.5,71.0,9.59,23,0.0,0.0,2.0,3/16,3/16,0.0,0.0,0.0,138.0,RCB,Royal Challengers Bangalore,8.0,8.0,Indian,True
Trent Boult,22-7-1989,,,,,,,,,,,,New Zealand,rhb,39.0,11.0,39.0,24.0,9.75,4,0.0,0.0,1.0,4/18,4/18,0.0,0.0,0.0,24.0,SRH,Sunrisers Hyderabad,1.0,1.0,Overseas,True
Adam Milne,13-4-1992,,,,,,,,,,,,New Zealand,rhb,43.0,7.0,43.0,24.0,10.75,4,0.0,0.0,1.0,2/21,2/21,0.0,0.0,0.0,24.0,RCB,Royal Challengers Bangalore,1.0,1.0,Overseas,True
Harshal Patel,23-11-1990,,,,,,,,,,,,India,rhb,147.0,28.0,147.0,84.0,10.5,14,0.0,0.0,1.0,5/27,5/27,0.0,0.0,0.0,84.0,RCB,Royal Challengers Bangalore,5.0,5.0,Indian,True
