StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Anil Kumble,0,10,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,5,,13,17,,76.47,,,,,,,,,,1,0,1,0,2,3,6.50,0,0,,8,6.50,,
Brad Hodge,449,3,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,3,,12,17,,70.58,,,,,,,,,,2,0,2,0,3,0,4.00,0,0,,10,4.00,,
Nuwan Zoysa,0,3,,,,10000,,,DEC,Deccan Chargers,10000,,,2,,11,9,,122.22,,,,,,,,,,1,0,1,0,1,1,11.00,0,0,,10*,11.00,,
Makhaya Ntini,0,9,,,,10000,,,CSK,Chennai Super Kings,10000,,,2,,11,18,,61.11,,,,,,,,,,2,0,2,0,1,1,11.00,0,0,,11,11.00,,
Ishant Sharma,50,13,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,6,,11,11,,100.00,,,,,,,,,,1,0,1,0,1,5,11.00,0,0,,4*,11.00,,
Taruwar Kohli,0,2,,,,10000,,,RR,Rajasthan Royals,10000,,,2,,10,15,,66.66,,,,,,,,,,0,1,0,1,2,0,5.00,0,0,,7,5.00,,
Ashley Noffke,0,1,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,1,,9,10,,90.00,,,,,,,,,,1,0,1,0,1,0,9.00,0,0,,9,9.00,,
Dimitri Mascarenhas,0,1,,,,10000,,,RR,Rajasthan Royals,10000,,,1,,9,8,,112.50,,,,,,,,,,0,1,0,1,1,0,9.00,0,0,,9,9.00,,
Tanmay Srivastava,0,5,,,,10000,,,PBKS,Punjab Kings,10000,,,2,,8,10,,80.00,,,,,,,,,,0,0,0,0,1,1,8.00,0,0,,7,8.00,,
Rohan Raje,0,6,,,,10000,,,MI,Mumbai Indians,10000,,,3,,8,9,,88.88,,,,,,,,,,1,0,1,0,0,3,0.00,0,0,,6*,0.00,,
Sunil Joshi,0,4,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,2,,6,14,,42.85,,,,,,,,,,0,0,0,0,2,0,3.00,0,0,,3,3.00,,
Pankaj Singh,0,5,,,,10000,,,RR,Rajasthan Royals,10000,,,2,,5,8,,62.50,,,,,,,,,,0,0,0,0,0,2,0.00,0,0,,4*,0.00,,
Siddharth Trivedi,0,15,,,,10000,,,RR,Rajasthan Royals,10000,,,3,,5,12,,41.66,,,,,,,,,,0,0,0,0,1,2,5.00,0,0,,3*,5.00,,
Ajinkya Rahane,44,2,,,,10000,,,MI,Mumbai Indians,10000,,,2,,4,17,,23.52,,,,,,,,,,1,0,1,0,2,0,2.00,0,0,,4,2.00,,
Sunny Sohal,0,2,,,,10000,,,PBKS,Punjab Kings,10000,,,2,,4,8,,50.00,,,,,,,,,,0,0,0,0,2,0,2.00,0,0,,4,2.00,,
Vikram Singh,0,13,,,,10000,,,PBKS,Punjab Kings,10000,,,2,,4,3,,133.33,,,,,,,,,,1,0,1,0,2,0,2.00,0,0,,4,2.00,,
Glenn McGrath,0,14,,,,10000,,,DC,Delhi Capitals,10000,,,3,,4,5,,80.00,,,,,,,,,,1,0,1,0,1,2,4.00,0,0,,4*,4.00,,
Younis Khan,0,1,,,,10000,,,RR,Rajasthan Royals,10000,,,1,,3,7,,42.85,,,,,,,,,,0,0,0,0,1,0,3.00,0,0,,3,3.00,,
Doddapaneni Kalyankrishna,0,3,,,,10000,,,DEC,Deccan Chargers,10000,,,1,,3,8,,37.50,,,,,,,,,,0,0,0,0,1,0,3.00,0,0,,3,3.00,,
Manish Pandey,16,3,,,,10000,,,MI,Mumbai Indians,10000,,,2,,3,9,,33.33,,,,,,,,,,0,0,0,0,2,0,1.50,0,0,,3,1.50,,
Mohammad Asif,0,8,,,,10000,,,DC,Delhi Capitals,10000,,,2,,3,6,,50.00,,,,,,,,,,0,0,0,0,2,0,1.50,0,0,,3,1.50,,
Ashish Nehra,0,14,,,,10000,,,MI,Mumbai Indians,10000,,,4,,3,13,,23.07,,,,,,,,,,0,0,0,0,1,3,3.00,0,0,,2*,3.00,,
Halhadar Das,0,1,,,,10000,,,DEC,Deccan Chargers,10000,,,1,,2,5,,40.00,,,,,,,,,,0,0,0,0,1,0,2.00,0,0,,2,2.00,,
Vikrant Yeligati,0,2,,,,10000,,,MI,Mumbai Indians,10000,,,1,,2,2,,100.00,,,,,,,,,,0,0,0,0,1,0,2.00,0,0,,2,2.00,,
Shoaib Akhtar,0,3,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,1,,2,7,,28.57,,,,,,,,,,0,0,0,0,1,0,2.00,0,0,,2,2.00,,
Dilhara Fernando,0,5,,,,10000,,,MI,Mumbai Indians,10000,,,1,,2,1,,200.00,,,,,,,,,,0,0,0,0,0,1,0.00,0,0,,2*,0.00,,
Pradeep Sangwan,977,7,,,,10000,,,DC,Delhi Capitals,10000,,,2,,2,5,,40.00,,,,,,,,,,0,0,0,0,2,0,1.00,0,0,,2,1.00,,
